Code,Condition,Image id ,Subject's answer,Reaction time
fOnc49n4Jj,6,23,none,4.32
D4UDVOAkkQ,5,29,airplane,4.288
e86wLnLuMx,5,18,Monkey,4.486
XFUMCNL82u,4,12,none,1.744
YF72HIZPAN,4,16,hot air balloon,8.184
e86wLnLuMx,5,19,None,3.543
fOnc49n4Jj,6,24,Flower,5.679
D4UDVOAkkQ,5,30,convertible car,5.472
XFUMCNL82u,4,13,none,1.406
0Oo7GZec6o,5,8,vase,641.143
XFUMCNL82u,4,14,none,1.558
YF72HIZPAN,4,18,barrel,2.121
fOnc49n4Jj,6,25,none,4.56
e86wLnLuMx,5,20,None,5.277
0Oo7GZec6o,5,9,duck,3.326
XFUMCNL82u,4,15,none,1.612
YF72HIZPAN,4,19,bike,1.684
YF72HIZPAN,4,20,cat,1.774
fOnc49n4Jj,6,26,none,4.249
e86wLnLuMx,5,21,Swings,5.778
0Oo7GZec6o,5,10,frog,5.279
XFUMCNL82u,4,16,hot air balloon ,7.293
YF72HIZPAN,4,21,rooster,2.94
YF72HIZPAN,4,22,snail,2.204
0Oo7GZec6o,5,11,horse,3.518
fOnc49n4Jj,6,27,Glass,8.744
e86wLnLuMx,5,22,Guinea Pig,10.132
YF72HIZPAN,4,23,monkey,2.871
RQeYnGAvGE,4,1,  wolf,9.413
XFUMCNL82u,4,17,none,1.797
0Oo7GZec6o,5,12,shack,6.07
fOnc49n4Jj,6,28,none,3.832
YF72HIZPAN,4,24,sink,1.878
e86wLnLuMx,5,23,Bell,4.043
XFUMCNL82u,4,18,barrel,4.448
YF72HIZPAN,4,25,frog,1.693
0Oo7GZec6o,5,13,picture frame,5.031
e86wLnLuMx,5,24,Phone,4.157
fOnc49n4Jj,6,29,none,5.735
YF72HIZPAN,4,26,frog,2.404
RQeYnGAvGE,4,2,"Nothing, no picture appeared",15.924
XFUMCNL82u,4,19,bike,4.373
e86wLnLuMx,5,25,Lemons,4.705
fOnc49n4Jj,6,30,none,6.405
0Oo7GZec6o,5,14,bridge over water,11.614
XFUMCNL82u,4,20,cat,3.774
YF72HIZPAN,4,28,toilet,2.263
e86wLnLuMx,5,26,Lemur,7.152
0Oo7GZec6o,5,15,water,4.223
RQeYnGAvGE,4,3,Maple leaf,9.483
YF72HIZPAN,4,29,corn,1.81
XFUMCNL82u,4,21,chicken,4.059
XFUMCNL82u,4,22,none,1.24
YF72HIZPAN,4,30,lion,1.89
e86wLnLuMx,5,27,House,5.966
0Oo7GZec6o,5,16,fan,6.877
RQeYnGAvGE,4,4,Fox,6.467
XFUMCNL82u,4,23,none,1.281
e86wLnLuMx,5,28,None,4.136
XFUMCNL82u,4,24,sink,3.908
0Oo7GZec6o,5,17,shattered glass,6.999
e86wLnLuMx,5,29,Airplane,3.854
XFUMCNL82u,4,25,none,1.715
0Oo7GZec6o,5,18,monkey,4.335
XFUMCNL82u,4,26,none,1.425
RQeYnGAvGE,4,5,Moose,14.036
e86wLnLuMx,5,30,Car,3.08
XFUMCNL82u,4,27,car,2.805
XFUMCNL82u,4,28,none,2.695
RQeYnGAvGE,4,6,Banana,7.001
XFUMCNL82u,4,29,corn,3.482
RQeYnGAvGE,4,7,apple,5.895
XFUMCNL82u,4,30,lion,3.439
0Oo7GZec6o,5,21,none,9.576
0Oo7GZec6o,5,22,otter,6.469
0Oo7GZec6o,5,23,bell,3.26
0Oo7GZec6o,5,24,soccer ball,4.656
0Oo7GZec6o,5,25,lemon slice,4.543
FAanld8q6I,4,1,  Ram,8.335
0Oo7GZec6o,5,26,lemur,23.374
0Oo7GZec6o,5,27,something furry,7.376
FAanld8q6I,4,2,Chipmunk,8.598
0Oo7GZec6o,5,28,boat,3.218
0Oo7GZec6o,5,29,airplane,4.047
FAanld8q6I,4,3,Cloth with a red star,15.254
0Oo7GZec6o,5,30,convertible car,6.051
FAanld8q6I,4,4,fox,4.984
FAanld8q6I,4,5,none,9.385
FAanld8q6I,4,6,a banana,10.65
FAanld8q6I,4,7,an apple,4.894
zV5eGz35iK,6,1,lipstick  ,3.979
FAanld8q6I,4,8,none,4.315
FAanld8q6I,4,9,cockroach,20.27
FAanld8q6I,4,10,none,6.097
FAanld8q6I,4,11,toilet,5.444
FAanld8q6I,4,12,toilet,4.638
FAanld8q6I,4,13,none,5.581
FAanld8q6I,4,14,none,3.768
FAanld8q6I,4,15,a snail shell,13.685
FAanld8q6I,4,16,hot air balloon,7.191
FAanld8q6I,4,17,none,3.51
FAanld8q6I,4,18,a barrel,4.448
FAanld8q6I,4,19,a cycle,4.069
FAanld8q6I,4,20,a cat,3.617
FAanld8q6I,4,21,a hen,5.052
FAanld8q6I,4,22,a sea shell,9.434
FAanld8q6I,4,23,a monkey,7.855
FAanld8q6I,4,24,none,5.162
FAanld8q6I,4,25,a frog,4.08
FAanld8q6I,4,26,none,3.782
FAanld8q6I,4,27,a deer,6.213
FAanld8q6I,4,28,a toilet,5.212
FAanld8q6I,4,29,corn cob,6.167
MK1cmTNAVf,5,2,art,29.399
FAanld8q6I,4,30,a lion,4.737
MK1cmTNAVf,5,3,bird,4.566
MK1cmTNAVf,5,9,bird,4.166
hYfJMsdiK4,4,1,  A goat,7.767
MK1cmTNAVf,5,11,horse,4.826
hYfJMsdiK4,4,2,a squirrel ,6.514
MK1cmTNAVf,5,12,house,4.197
hYfJMsdiK4,4,3,none,4.688
MK1cmTNAVf,5,13,picture frame,7.147
hYfJMsdiK4,4,4,none,4.734
hYfJMsdiK4,4,5,an antelope,6.986
hYfJMsdiK4,4,6,a banana,4.532
hYfJMsdiK4,4,7,none,3.961
MK1cmTNAVf,5,16,None,7.559
hYfJMsdiK4,4,8,none,7.686
MK1cmTNAVf,5,18,monkey/ape/gorilla,10.16
hYfJMsdiK4,4,9,none,8.072
hYfJMsdiK4,4,10,a butterfly,4.91
hYfJMsdiK4,4,11,a dirty bathroom,6.182
hYfJMsdiK4,4,12,none,3.461
MK1cmTNAVf,5,22,hampster,6.007
hYfJMsdiK4,4,13,a cellphone,5.551
hYfJMsdiK4,4,14,none,3.213
hYfJMsdiK4,4,15,none,4.043
hYfJMsdiK4,4,16,none,3.952
hYfJMsdiK4,4,17,none,3.71
hYfJMsdiK4,4,18,a barrel,4.496
MK1cmTNAVf,5,29,airplane,6.764
hYfJMsdiK4,4,19,none,3.945
hYfJMsdiK4,4,20,i thought  i saw whiskers,13.519
