,1,,2,,3,,4,,5,,6,,7,,8,,9,,10,,11,,12,,13,,14,,15,,16,,17,,18,,19,,20,,21,,22,,23,,24,,25,,26,,27,,28,,29,,30,
lbrNIvGbgY,"mandala
  ",0,semi truck,2,flamingo,2,violin,2,numbers,0,rock,0,shark,2,space,0,duck,2,alien,0,bears,0,shed,2,frame,2,bus,2,computer,0,wheat,0,"tye dye
",0,squirrel,2,the sun,0,uterus,0,"tye dye
",0,tye dye,0,toilet,0,soccer ball,2,suns,0,fox,2,mountain,2,"tye dye
",0,bats,0,car,2
jGN9Fbc1eI,Coin  ,0,Van,2,peacock,2,Violin,2,None,0,Snail,0,dot,0,Bird,0,duck,2,cap,0,hourse,2,House,2,Board,2,Bus,2,Cloth,0,fether,0,Shelter,0,bear,2,Fish,0,duck,0,dress,0,Mouse,2,Cup,0,Eye,0,Onion,2,Rabbit,2,mouse,0,Cloth,0,Aeroplane,2,Car,2
k2I1shPQGN,clock  ,2,tractor trailer,2,flamingo,2,violin,2,corderoy,0,whistle,2,shark,2,hourglass,2,duck,2,helmet,0,horse,2,tent,2,frame,2,bus,2,nothing,0,radiator,2,grass,2,squirrel,2,rabbit,2,toilet,2,swingset,2,beaver,2,bell,2,soccer ball,2,lemon,2,raccoon,2,hat,0,sailboat,2,plane,2,car,2
s8Ukea45LE,none  ,0,Semi truck,2,flamingo,2,none,0,none,0,whistle,2,crab,0,none,0,duck,2,frog,0,elephant,2,house,2,picture frame,2,none,0,none,0,wheat,0,grass,2,prairie dog,2,grass and dirt,0,none,0,trees,0,beaver,2,bowl,0,soccer ball,2,orange,2,none,0,none,0,,,,,,
ad1LXH2q4p,  none,0,semi truck and trailer,2,flamingo,2,violin,2,none,0,none,0,none,0,none,0,duck,2,none,0,horse,2,house,2,square,2,bus,2,none,0,none,0,none,0,bird,0,none,0,none,0,none,0,mouse,2,none,0,none,0,food,2,deer,2,none,0,none,0,plane,2,car,2
tXhKMefTJY,Soap?  ,0,An 18-wheeler,2,flamingo,2,Violin,2,Curtain?,0,A shoulder pad?,0,A shark,2,A sand timer,2,A skateboarder,0,a purse,0,horse,2,a tent,2,a box,2,bridge,0,water,0,grass,0,Window,0,Chipmunk,2,octopus,0,fish,0,spikes,0,chipmunk,2,light fixture,0,Board game,0,Lemon,2,Camel,2,mountain,2,cave,0,airplane,2,car,2
AiZtEmKAIj,,0,truck on the road,2,flamengo,2,violin,2,none,0,none,0,frog,0,hourglass,2,duck,2,bag,0,none,0,camping tent,2,wooden box,2,building,0,none,0,fence door,2,none,0,octopus,0,none,0,battle horn,0,young lady,0,hamster,2,bell,2,flag,0,lemon,2,raccoon,2,none,0,surfboard,0,airplane,2,car,2
lSflFMrHca,nothing  ,0,mountain,0,a colored circle in pink,0,a blue cross,0,a striped pattern,0,a white square in a brown background,2,brown and white colors,0,a white circle,0,a duck,2,a blue circle,0,colors,0,trees,2,a white square,2,various colors,0,white and blue,0,grass,0,blue patterns,0,a dog,2,pink and blue,0,pink,0,green border,0,cannot tell,0,yellow background,0,orange circle,0,yellowish colors,0,dark background,0,blue,0,white lines,0,a plane,2,a car,2
bZWJ4mZHq2,just a pattern like  knitting  ,0,a truck on a mountain road,2,a flamingo,2,a violin or cello,2,a pattern of horizontal lines tilted,0,"not sure what the shape was, maybe a snail",0,a squirrel maybe,0,a lizard maybe,0,a duck,2,a seal possibly,0,a horse,2,"an animal, maybe a bison or bear",0,a picture frame,2,none,0,none,0,none,0,a mushroom maybe,2,a bear,2,none,0,none,0,none,0,a hamster or guinea pig,2,an oval shape,2,none,0,orange or lemon slices,2,a raccoon maybe,2,a mountain or rock formation,2,none,0,a plane,2,an old car,2
XLiFbDJqqD,  coin,0,car,2,flamingo,2,violin,2,none,0,whistle,2,none,0,hourglass,2,duck,2,rose,0,horse,2,cabin,2,frame,2,schoolbus,2,none,0,matches,2,mushroom,2,woodchuck,2,none,0,none,0,none,0,mouse,2,bell,2,soccer ball,2,lemon,2,kangaroo,2,none,0,none,0,airplane,2,car,2
